ANNO,PROVINCIA,GENERE,COORDINATA X,COORDINATA Y,SPERANZA DI VITA ALLA NASCITA,TASSO MORTALITA' PER 1.000 ABITANTI,TASSO MORTALITA INFANTILE PER RESIDENZA PER 1.000 NATI VIVI,POSIZIONE
2015,ITALIA,F,,,84.6,10.446910169527547,3.1,
2015,MONZA E DELLA BRIANZA,F,9.258430902,45.5823624,85.3,8.697131837174567,1.85,"(45.5823624, 9.258430902)"
2012,CREMONA,F,10.0131151,45.13644491,84,10.691872186630041,1.84,"(45.13644491, 10.0131151)"
2013,PAVIA,ALL,9.14034225,45.18407925,81.4,12.034249628870434,3.21,"(45.18407925, 9.14034225)"
2015,VARESE,ALL,8.80650544,45.80041256,82.9,10.284644817460192,1.35,"(45.80041256, 8.80650544)"
2012,MANTOVA,ALL,10.77086348,45.14135331,82.1,11.023499064088579,2.17,"(45.14135331, 10.77086348)"
2015,MILANO,ALL,9.18951,45.46427,83.2,9.686614312384023,2.61,"(45.46427, 9.18951)"
2016,VARESE,ALL,8.80650544,45.80041256,83.4,9.665569932134284,,"(45.80041256, 8.80650544)"
2014,BERGAMO,ALL,9.63853045,45.68012929,82.8,8.343658377453533,3.3,"(45.68012929, 9.63853045)"
2014,REGIONE LOMBARDIA,ALL,,,83.1,9.056962921327841,2.85,
2016,SONDRIO,M,9.879429303,46.1707552,79.5,10.627221871577845,,"(46.1707552, 9.879429303)"
2015,LECCO,M,9.388156645,45.85028614,80.7,10.54389962161239,1.45,"(45.85028614, 9.388156645)"
2013,LODI,F,9.510140481,45.31535435,84.1,8.859922039838358,0.94,"(45.31535435, 9.510140481)"
2013,MANTOVA,M,10.77086348,45.14135331,80.2,10.989686529122196,3.41,"(45.14135331, 10.77086348)"
2012,ITALIA,M,,,79.6,10.335543988099031,2.85,
2015,PAVIA,M,9.14034225,45.18407925,79.2,13.448031216743527,1.97,"(45.18407925, 9.14034225)"
2014,REGIONE LOMBARDIA,F,,,85.5,8.81482798385251,2.95,
2013,MILANO,F,9.18951,45.46427,85.6,9.107691980647317,3.23,"(45.46427, 9.18951)"
2013,REGIONE LOMBARDIA,M,,,80.3,9.45786651279745,2.2,
2016,CREMONA,ALL,10.0131151,45.13644491,82.1,11.51657608997655,,"(45.13644491, 10.0131151)"
2016,MONZA E DELLA BRIANZA,F,9.258430902,45.5823624,85.9,8.276742988512249,,"(45.5823624, 9.258430902)"
2016,BERGAMO,M,9.63853045,45.68012929,80.8,8.850308331882097,,"(45.68012929, 9.63853045)"
2012,COMO,M,9.039360974,45.80216962,80.1,9.276370259976817,2.99,"(45.80216962, 9.039360974)"
2015,BRESCIA,F,10.18167955,45.51939749,85.3,8.847715960357219,2.67,"(45.51939749, 10.18167955)"
2012,CREMONA,ALL,10.0131151,45.13644491,81.5,11.468001495705408,2.88,"(45.13644491, 10.0131151)"
2015,BERGAMO,ALL,9.63853045,45.68012929,82.4,9.222646540537834,3.05,"(45.68012929, 9.63853045)"
2012,REGIONE LOMBARDIA,F,,,84.9,9.378875832890206,2.51,
2013,COMO,ALL,9.039360974,45.80216962,82.7,9.260362926986504,1.33,"(45.80216962, 9.039360974)"
2016,MANTOVA,F,10.77086348,45.14135331,85.4,10.075952998671873,,"(45.14135331, 10.77086348)"
2015,CREMONA,M,10.0131151,45.13644491,80,12.578035184797645,3.9,"(45.13644491, 10.0131151)"
2013,BRESCIA,F,10.18167955,45.51939749,85.2,8.348678382348417,3.69,"(45.51939749, 10.18167955)"
2014,BRESCIA,M,10.18167955,45.51939749,80.4,8.672518499060333,3.08,"(45.51939749, 10.18167955)"
2014,CREMONA,F,10.0131151,45.13644491,84.6,10.266587360427126,4.64,"(45.13644491, 10.0131151)"
